ID,CG,Course1,Grade1,Course2,Grade2,Course3,Grade3,Course4,Grade4,Course5,Grade5
2017A3PS0453G,9.2,A,10,B,8,D,9,,,,
2017A7PS0054G,9.2,A,10,B,8,D,9,,,,
2017A3PS0455G,8.3,E,8,G,9,,,,,,
2017A3PS0456G,7.4,F,9,E,7,D,8,,,,
2017A3PS0458G,8.5,A,10,G,9,,,,,,
2017A3PS0459G,9.7,B,6,G,8,A,9,,,,
2017A3PS0899G,8.3,E,7,D,9,,,,,,
2017A3PS0900G,7.9,E,8,A,8,,,,,,
2017A3PS0901G,8.7,A,9,,,,,,,,
2017A3PS0902G,8.1,D,10,,,,,,,,
2017A3PS1900G,7.7,F,8,A,7,G,8,,,,
2017A3PS1901G,7.9,E,7,A,9,B,9,,,,
2017A3PS0453G,7.2,C,9,H,8,D,8,,,,
2017A3PS0455G,7.4,F,7,D,7,C,7,,,,
2017A3PS0456G,8.6,A,8,B,9,C,9,G,9,,
2017A3PS0458G,8.8,F,9,D,10,E,8,,,,
2017A3PS0459G,10,A,6,C,6,D,9,F,8,I,10
2017A3PS0899G,8.5,A,7,C,9,B,7,,,,
2017A3PS0900G,9.1,H,8,D,9,H,6,,,,
2017A3PS0901G,8.2,H,7,I,10,,,,,,
2017A3PS0902G,8.8,B,8,C,8,H,10,A,10,,
2017A3PS1900G,7.6,E,9,F,7,A,10,C,10,,
2016A3PS0166G,7.2,I,7,D,9,E,9,G,9,,
2016A3PS0167G,7.4,H,10,B,10,A,7,D,8,,
2016A3PS0168G,8.5,B,8,D,9,G,8,H,9,E,8
2016A3PS0169G,7.5,I,9,B,10,H,10,G,7,,
2016A3PS0170G,8,A,6,E,9,G,9,D,6,,
2016A3PS0173G,9,A,8,C,9,B,10,D,9,,
2016A3PS0178G,7.7,F,7,A,8,,,,,,
2016A3PS0180G,7.3,B,10,I,9,A,9,C,8,,